row_number,row_number,AGNO,COD_ESCUELA_PAIS,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_ADM1,NOM_REG_RBD_A,COD_PRO_RBD,COD_ADM3,NOM_ADM3,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL,lat,long,geohash,geometry,cod_comuna,Comuna,g_adm_1,g_adm_3,month,day,n_visitantes_geohash,n_visitantes_adm3,n_visitantes_0,n_visitantes_1,n_visitantes_2,n_visitantes_3,n_visitantes_4,n_visitantes_5,n_visitantes_6,n_visitantes_7,n_visitantes_8,n_visitantes_9,n_visitantes_10,n_visitantes_11,n_visitantes_12,n_visitantes_13,n_visitantes_14,n_visitantes_15,n_visitantes_16,n_visitantes_17,n_visitantes_18,n_visitantes_19,n_visitantes_20,n_visitantes_21,n_visitantes_22,n_visitantes_23,_merge
27245,9392,2019,12552,0,ESCUELA HUAVIÑA, ,69010200,1,1,TPCA,14,1404,HUARA,11,IQUIQUE,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-19.783145899999997,-69.17414093,6kqz3ys,POINT (-69.17414092999999 -19.7831459),1404,Huara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
27246,9400,2019,12562,8,ESCUELA LAONZANA, ,69010200,1,1,TPCA,14,1404,HUARA,11,IQUIQUE,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-19.85688972,-69.34556579999999,6kqxn10,POINT (-69.3455658 -19.85688972),1404,Huara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
27247,9495,2019,12668,3,ESCUELA SOTOCA, ,69010200,1,1,TPCA,14,1404,HUARA,11,IQUIQUE,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-19.59645653,-69.23446655,6kwb889,POINT (-69.23446654999999 -19.59645653),1404,Huara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
27299,132,2019,170,8,ESCUELA NAMA, ,69251100,1,1,TPCA,14,1402,CAMIÑA,11,IQUIQUE,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-19.18918419,-69.41156769,6kwdud8,POINT (-69.41156769 -19.18918419),1402,Camiña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
27470,140,2019,179,1,ESCUELA BASICA MAUQUE, ,69250400,1,1,TPCA,14,1403,COLCHANE,11,IQUIQUE,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,3, ,GRATUITO,GRATUITO,-19.32282257,-68.8805542,6kx40d6,POINT (-68.88055420000001 -19.32282257),1403,Colchane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
27473,143,2019,186,4,ESCUELA BASICA ENQUELGA, ,69250400,1,1,TPCA,14,1403,COLCHANE,11,IQUIQUE,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,3, ,GRATUITO,GRATUITO,-19.22896767,-68.80448914,6kx4d76,POINT (-68.80448914 -19.22896767),1403,Colchane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
32406,188,2019,243,7,ESCUELA BASICA PUKARA, ,70954900,1,2,ANTOF,22,2201,CALAMA,22,EL LOA,1,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-22.26803017,-68.63121796,6kp1q60,POINT (-68.63121796 -22.26803017),2201,Calama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
32721,193,2019,249,6,ESCUELA BASICA SAN ANDRES, ,70954900,1,2,ANTOF,22,2201,CALAMA,22,EL LOA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2, ,GRATUITO,GRATUITO,-22.11495425,-68.31687474,6kp6jqj,POINT (-68.31687474 -22.11495425),2201,Calama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
38912,212,2019,276,3,ESCUELA BASICA TALABRE, ,69252500,1,2,ANTOF,22,2203,SAN PEDRO DE ATACAMA,22,EL LOA,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-23.32527542,-67.83605957,67zg23g,POINT (-67.83605957 -23.32527542),2203,San Pedro de Atacama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
39013,9624,2019,12842,2,LICEO AGROPECUARIO LIKAN ANTAI, ,69252500,1,2,ANTOF,22,2203,SAN PEDRO DE ATACAMA,22,EL LOA,2,1,1,1,110,299,310,410,510,610,710,0,0,0,0,1,1,7,VALORICA - ETICA,GRATUITO,GRATUITO,-22.93134443,-68.21590104,67zmx9q,POINT (-68.21590104000001 -22.93134443),2203,San Pedro de Atacama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
55563,294,2019,381,6,ESCUELA BASICA PEDRO LUJAN, ,69030100,1,3,ATCMA,32,3201,CHAÑARAL,31,COPIAPÓ,2,1,0,1,10,110,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-26.43017769,-70.28773499,67q18sd,POINT (-70.28773499 -26.43017769),3201,Chañaral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
56085,297,2019,384,0,LICEO BICENTENARIO  MANUEL MAGALHAES MEDLING, ,69250500,1,3,ATCMA,32,3202,DIEGO DE ALMAGRO,31,COPIAPÓ,2,1,0,1,310,510,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-26.39007378,-70.05818939,67q1vgc,POINT (-70.05818939 -26.39007378),3202,Diego de Almagro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
56519,9777,2019,13170,9,ESCUELA BASICA SARA CORTES CORTES, ,69250500,1,3,ATCMA,32,3202,DIEGO DE ALMAGRO,31,COPIAPÓ,2,1,0,1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-26.392118100000005,-70.05740435,67q1vg3,POINT (-70.05740435 -26.3921181),3202,Diego de Almagro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
56723,15961,2019,40312,1,COLEGIO ESPECIAL SAN LORENZO, ,65144297,1,3,ATCMA,32,3202,DIEGO DE ALMAGRO,31,COPIAPÓ,3,2,0,0,212,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-26.411758000000003,-70.04813,67q1wpb,POINT (-70.04813 -26.411758),3202,Diego de Almagro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
59028,328,2019,423,5,ESCUELA SAN PEDRO, ,69030200,1,3,ATCMA,31,3101,COPIAPÓ,31,COPIAPÓ,2,1,1,1,10,110,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-27.32437515,-70.53858948,67judce,POINT (-70.53858948 -27.32437515),3101,Copiapó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
63814,8729,2019,11036,1,ESCUELA JOSE JOAQUIN VALLEJOS, ,69030300,1,3,ATCMA,31,3102,CALDERA,31,COPIAPÓ,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-27.3379974,-70.78151135,67jsmr6,POINT (-70.78151135 -27.3379974),3102,Caldera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
64498,340,2019,441,3,ESCUELA DE CONCENTRACION, ,69030400,1,3,ATCMA,31,3103,TIERRA AMARILLA,31,COPIAPÓ,2,1,0,1,10,110,299,363,510,710,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-27.47769547,-70.25320435,67n59mg,POINT (-70.25320435 -27.47769547),3103,Tierra Amarilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
64658,345,2019,447,2,ESCUELA SAN ANTONIO, ,69030400,1,3,ATCMA,31,3103,TIERRA AMARILLA,31,COPIAPÓ,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-27.95250702,-70.00411987,67n0zp2,POINT (-70.00411987 -27.95250702),3103,Tierra Amarilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
66251,358,2019,463,4,ESCUELA BASICA ROBERTO CUADRA ALQUINTA, ,61999330,1,3,ATCMA,33,3301,VALLENAR,32,HUASCO,6,5,0,1,10,110,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-28.95562744,-70.88004303,66ve70f,POINT (-70.88004303 -28.95562744),3301,Vallenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
66360,360,2019,466,9,ESCUELA BASICA JAVIERA CARRERA, ,61999330,1,3,ATCMA,33,3301,VALLENAR,32,HUASCO,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2, ,GRATUITO,GRATUITO,-28.54130179,-70.89516014,66vtdsp,POINT (-70.89516014 -28.54130179),3301,Vallenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
66370,362,2019,468,5,ESCUELA BASICA IGNACIO FRANCO GALLO, ,61999330,1,3,ATCMA,33,3301,VALLENAR,32,HUASCO,6,5,1,1,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-28.63046837,-70.69622803,66vtp7b,POINT (-70.69622803 -28.63046837),3301,Vallenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
66371,363,2019,469,3,ESCUELA BASICA JUSTINO LEIVA AMOR, ,61999330,1,3,ATCMA,33,3301,VALLENAR,32,HUASCO,6,5,1,1,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-28.65011978,-70.69722748,66vtp0r,POINT (-70.69722748 -28.65011978),3301,Vallenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
66372,364,2019,471,5,ESCUELA BASICA SARA BEMBOW VILLEGAS, ,61999330,1,3,ATCMA,33,3301,VALLENAR,32,HUASCO,6,5,1,0,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-28.59608459,-70.78342438,66vtm61,POINT (-70.78342438 -28.59608459),3301,Vallenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
66373,365,2019,472,3,ESCUELA DE HACIENDA LAS VENTANAS, ,69030500,1,3,ATCMA,33,3301,VALLENAR,32,HUASCO,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION,-28.55556375,-70.79256541,66vtt1d,POINT (-70.79256540999999 -28.55556375),3301,Vallenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
67919,15917,2019,40264,4,JARDIN INFANTIL PARTICULAR ROTATIN, ,76139731,1,3,ATCMA,33,3301,VALLENAR,32,HUASCO,4,3,0,0,10,0,0,0,0,0,0,0,0,0,0,1,1,2, ,$25.001 A $50.000,$50.001 A $100.000,-28.599503000000002,-70.75048000000001,66vtq19,POINT (-70.75048 -28.599503),3301,Vallenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
68135,373,2019,482,0,ESCUELA FORTUNATO SOZA RODRIGUEZ, ,61999330,1,3,ATCMA,33,3303,FREIRINA,32,HUASCO,6,5,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-29.10040665,-71.40557098,66v4rnk,POINT (-71.40557097999999 -29.10040665),3303,Freirina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
68462,379,2019,489,8,ESCUELA EL OLIVAR, ,61999330,1,3,ATCMA,33,3304,HUASCO,32,HUASCO,6,5,0,1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-28.47038269,-71.20183563,66vq5c0,POINT (-71.20183563000001 -28.47038269),3304,Huasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
68531,9740,2019,13128,8,ESCUELA RURAL MOISES LOPEZ TRUJILLO, ,61999330,1,3,ATCMA,33,3304,HUASCO,32,HUASCO,6,5,1,1,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-28.15264335,-70.88003335,66vxg4f,POINT (-70.88003335000001 -28.15264335),3304,Huasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
68624,9803,2019,13199,7,ESC. ESP. DE LENGUAJE MIS RAICES, ,65154937,1,3,ATCMA,33,3304,HUASCO,32,HUASCO,3,2,0,0,214,0,0,0,0,0,0,0,0,0,0,1,1,7,NINGUNA,GRATUITO,GRATUITO,-28.474867,-71.22128000000001,66vq526,POINT (-71.22127999999999 -28.474867),3304,Huasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
68625,9804,2019,13200,4,ESCUELA ESPECIAL DE LENGUAJE NUEVA JUVENTUD, ,65154981,1,3,ATCMA,33,3304,HUASCO,32,HUASCO,3,2,0,0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-28.483904,-71.22043599999999,66vmgqd,POINT (-71.22043600000001 -28.483904),3304,Huasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
68626,15798,2019,40121,8,ESC.ESP.LENGUAJE HUASCO EDUCA, ,65158727,1,3,ATCMA,33,3304,HUASCO,32,HUASCO,3,2,0,0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-28.492939,-71.2196,66vmgm5,POINT (-71.2196 -28.492939),3304,Huasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
